fragment,contribution
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.642795
"[C&H0](=[N&H1])-[N&H2]",-0.567855
"[S&H0]-[N&H1]-[c&H0&R]:[n&H0&R]:[n&H0&R]",-0.543054
"[B&H0]-[O&H1]",-0.543006
"[B&H0&R]-[O&H1]",-0.543006
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H0]",-0.535402
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.521983
"[N&H2]-[C&H2]-[C&H2]-[C&H1]",-0.513279
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[S&H0]",-0.509538
"[C&H1]-[N&H2]",-0.496643
"[O&H1]-[C&H0]=[O&H0]",-0.492991
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.482170
"[O&H1]-[B&H0]-[O&H1]",-0.474912
"[C&H0&R3]-[N&H2]",-0.472379
"[O&H0]=[c&H0&R]:[n&H1&R]:[n&H0&R]:[c&H0&R]",-0.465842
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H2&R2]-[C&H0&R3]",-0.453014
"[C&H2]-[N&H2]",-0.449866
"[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.428037
"[N&H1]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.425962
"[N&H2]-[C&H2]-[C&H0]-[O&H1]",-0.425092
"[C&H0]-[O&H1]",-0.424029
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H0]",-0.421397
"[C&H0]=[N&H1]",-0.419912
"[N&H1]-[N&H2]",-0.419246
"[O&H0]=[c&H0&R]:[n&H1&R]:[n&H0&R]",-0.416707
"[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.415679
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H1]",-0.402817
"[C&H1]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.402568
"[c&H0&R]-[c&H0&R]:[n&H1&R]:[n&H0&R]:[n&H0&R]",-0.401993
"[C&H1&R]-[N&H2]",-0.400262
"[c&H0&R]=[N&H1]",-0.400195
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[N&H2]",-0.394541
"[O&H1]-[C&H0]-[C&H1]-[N&H1]-[C&H0]",-0.393901
"[N&H0&R]-[B&H0&R]-[O&H1]",-0.389455
"[C&H0](=[N&H1])-[N&H1]-[S&H0]-[N&H2]",-0.387621
"[O&H0]=[c&H0&R]:[n&H1&R]:[c&H1&R]:[n&H0&R]",-0.386461
"[N&H1]-[C&H2]-[C&H2]-[O&H1]",-0.385168
"[O&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.384120
"[O&H1]-[C&H0]-[C&H0]-[O&H0]-[C&H1&R2]",-0.380542
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[N&H2]",-0.380414
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[C&H1]",-0.380301
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[S&H0]",-0.379972
"[N&H1]-[C&H2]-[C&H2]-[N&H2]",-0.376590
"[O&H1]-[C&H0]-[C&H2]-[C&H2]-[C&H0]",-0.375133
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.374796
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.374793
"[N&H0]-[C&H2]-[C&H2]-[C&H0]-[C&H0]",-0.372852
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[C&H2]",-0.372244
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[N&H1]",-0.371749
"[N&H2]-[C&H0]=[N&H1]",-0.371509
"[C&H0](=[O&H0])-[O&H1]",-0.369542
"[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.367199
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[O&H0]",-0.365765
"[O&H1]-[c&H0&R]:[n&H0&R]:[n&H0&R]",-0.363478
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",-0.362968
"[N&H0]-[C&H2]-[C&H2]-[O&H0]-[C&H0]",-0.361855
"[N&H1]-[C&H1]-[C&H2]-[C&H1]-[O&H1]",-0.361580
"[N&H1]-[c&H0&R]:[n&H1&R]:[n&H0&R]:[n&H0&R]",-0.360838
"[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.360716
"[n&H0&R]:[c&H0&R]-[N&H1]-[S&H0]=[O&H0]",-0.360208
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[c&H0&R]",-0.356402
"[C&H0](=[N&H1])-[N&H1]-[S&H0]=[O&H0]",-0.356294
"[O&H0]=[c&H0&R]:[n&H1&R]:[c&H0&R]:[n&H0&R]",-0.355705
"[c&H0&R]-[S&H0]-[N&H1]-[C&H0]=[O&H0]",-0.354417
"[S&H1]-[c&H0&R]:[n&H0&R]:[c&H0&R2]:[n&H1&R]",-0.352964
"[O&H0]=[c&H0&R]:[n&H1&R]:[c&H0&R]-[S&H0]",-0.351649
"[N&H1]-[C&H1]-[C&H2]-[C&H2]-[O&H1]",-0.350484
"[N&H0]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.349778
"[C&H0](=[N&H1])-[N&H1]-[S&H0]",-0.348360
"[N&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.347827
"[N&H0&R]-[C&H2]-[C&H2]-[C&H0]=[O&H0]",-0.347174
"[c&H0&R]-[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.346695
"[C&H0&R3]-[N&H1]-[C&H2]-[C&H0]=[O&H0]",-0.346480
"[c&H0&R2]-[B&H0&R]-[O&H1]",-0.345660
"[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.342575
"[N&H0]-[C&H2]-[C&H0]-[C&H2]-[O&H0]",-0.342428
"[O&H1]-[c&H0&R]:[n&H0&R2]:[n&H0&R]",-0.341141
"[C&H0&R3]-[C&H2]-[C&H0]-[O&H1]",-0.340450
"[S&H1]-[c&H0&R]:[n&H1&R]:[c&H0&R]=[O&H0]",-0.340125
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.339725
"[O&H1]-[C&H0](=[O&H0])-[C&H1]",-0.339698
"[O&H1]-[C&H0](=[O&H0])-[C&H2]",-0.338655
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H1&R3]-[C&H2&R2]",-0.337992
"[C&H1]-[N&H1]-[C&H2]-[C&H1]-[C&H0]",-0.337823
"[O&H0]-[C&H1]-[C&H0]-[O&H1]",-0.337754
"[n&H0&R2]:[c&H0&R]-[O&H1]",-0.337062
"[n&H0&R]-[C&H2]-[c&H0&R]:[n&H0&R]:[n&H0&R]",-0.336574
"[N&H0&R]-[S&H0]-[N&H1]-[C&H0]=[O&H0]",-0.336560
"[N&H2]-[C&H1]-[C&H2]-[C&H2]-[C&H0]",-0.336480
"[S&H0]-[N&H1]-[c&H0&R]:[n&H1&R]:[n&H0&R]",-0.335881
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.334849
"[N&H0&R]-[C&H1]-[C&H0]-[O&H1]",-0.334283
"[O&H1]-[C&H0](=[O&H0])-[C&H1&R]-[N&H1&R]",-0.333431
"[C&H0&R2]-[O&H1]",-0.333329
"[n&H0&R2]:[c&H0&R]-[N&H1]-[C&H0]=[O&H0]",-0.332625
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H2&R2]",-0.332208
"[C&H1]-[C&H0]-[O&H1]",-0.331658
"[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.331041
"[N&H1]-[C&H1]-[C&H2]-[O&H1]",-0.330941
"[C&H1]-[N&H1]-[C&H1]-[C&H1]-[O&H1]",-0.329707
"[c&H0&R]:[c&H0&R2]:[n&H1&R]:[n&H0&R]:[n&H0&R]",-0.328968
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.328389
"[C&H0&R](=[N&H0&R]-[C&H0&R]-[N&H2])-[N&H2]",-0.327340
"[C&H0&R3]-[C&H0]-[O&H1]",-0.326622
"[N&H1]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.326542
"[C&H0]-[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.326412
"[N&H1]-[C&H2]-[C&H1]-[C&H2]-[O&H1]",-0.326266
"[O&H0&R]-[C&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.326254
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H1&R3]",-0.325291
"[N&H1&R]-[S&H0&R]=[N&H0&R]-[C&H0&R]=[O&H0]",-0.325268
"[C&H1&R2]-[O&H1]",-0.325042
"[N&H0&R]-[C&H2]-[c&H0&R]:[n&H0&R]:[n&H0&R]",-0.324487
"[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.323878
"[N&H2]-[C&H2]-[C&H2]",-0.323800
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[C&H1]",-0.323780
"[O&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.323375
"[N&H2]-[C&H0&R3]-[C&H2&R2]",-0.322742
"[C&H0]-[C&H0]-[O&H1]",-0.322002
"[N&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.321604
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H2]",-0.321250
"[N&H0]-[C&H2]-[C&H2]-[O&H1]",-0.318511
"[N&H0&R]-[C&H1&R]-[C&H2]-[C&H0]-[N&H2]",-0.317673
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H1&R]",-0.317111
"[O&H1]-[c&H0&R]:[n&H0&R2]:[c&H0&R2]:[n&H0&R]",-0.316737
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[N&H2]",-0.316166
"[C&H0]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.314658
"[C&H0]-[C&H0](=[O&H0])-[O&H1]",-0.312325
"[S&H0]-[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.311631
"[C&H0](=[N&H1])-[N&H1]-[C&H0]=[O&H0]",-0.311117
"[O&H0]-[C&H2]-[C&H1]-[O&H1]",-0.310859
"[c&H0&R]-[c&H0&R]:[n&H0&R]:[n&H0&R]:[n&H0&R]",-0.310801
"[C&H2]-[c&H0&R]:[n&H1&R]:[n&H0&R]:[n&H0&R]",-0.309531
"[O&H1]-[C&H0](-[C&H2])-[C&H0]-[c&H0&R]",0.309488
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[c&H0&R]",-0.307145
"[S&H0]-[N&H1]-[c&H0&R]:[n&H0&R]:[c&H0&R]",-0.305990
"[S&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.305109
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[C&H1&R]",-0.304368
"[O&H1]-[C&H0](=[O&H0])-[C&H1&R]",-0.302752
"[O&H1]-[C&H0](-[C&H2])-[C&H0]",0.302433
"[O&H0]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.302240
"[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.300345
"[c&H0&R]-[C&H0](=[O&H0])-[O&H1]",-0.300146
"[N&H0&R]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.299339
"[n&H0&R]:[c&H0&R]-[C&H0]-[O&H1]",-0.298994
"[n&H0&R]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.298423
"[N&H2]-[C&H1]-[C&H0]-[O&H1]",-0.297497
"[N&H0]-[C&H2]-[C&H2]-[Cl&H0]",-0.297305
"[C&H0](=[O&H0])-[C&H0]-[O&H1]",-0.296726
"[O&H1]-[C&H0]-[C&H2]-[O&H0]",-0.296468
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[c&H0&R]",-0.295664
"[N&H0&R]-[C&H2]-[C&H2]-[O&H1]",-0.295369
"[O&H1]-[C&H0]-[C&H2]-[C&H0]",-0.294403
"[O&H1]-[C&H0](-[C&H2])-[C&H0]=[O&H0]",0.294229
"[N&H2]-[C&H2]-[c&H0&R]:[n&H1&R]",-0.294007
"[C&H3]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.293977
"[N&H2]-[C&H0](=[N&H1])-[c&H0&R]:[s&H0&R]",-0.293855
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[N&H0&R]",-0.293360
"[N&H0]-[C&H2]-[C&H1]-[O&H1]",-0.293187
"[n&H0&R]:[c&H0&R]=[N&H1]",-0.293180
"[C&H0]-[N&H1]-[O&H1]",-0.292920
"[N&H0&R]-[C&H2]-[C&H1]-[O&H1]",-0.292262
"[N&H2]-[C&H0&R]=[N&H0&R]-[C&H1&R]-[N&H1&R]",-0.290724
"[n&H0&R](:[n&H1&R]):[c&H0&R]=[O&H0]",-0.290644
"[C&H0&R3]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.290418
"[n&H0&R](:[n&H1&R]:[c&H0&R]):[c&H0&R]=[O&H0]",-0.290115
"[n&H0&R]:[c&H0&R]-[C&H2]-[O&H1]",-0.289493
"[O&H1]-[C&H0](-[C&H0])-[C&H0]",0.288605
"[O&H1]-[c&H0&R]:[n&H0&R]:[c&H0&R]-[O&H1]",-0.288227
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[c&H0&R]",-0.288003
"[N&H0&R]-[N&H0&R]-[B&H0&R]-[O&H1]",-0.287829
"[c&H0&R]-[c&H0&R]:[n&H0&R]:[n&H0&R]:[n&H1&R]",-0.287778
"[S&H0]-[N&H1]-[c&H0&R]:[n&H0&R]",-0.286429
"[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.286205
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.285938
"[N&H0&R]-[C&H0&R]=[N&H0&R]-[C&H0&R]-[N&H2]",-0.285600
"[c&H0&R]-[C&H0]-[O&H1]",-0.285379
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[N&H0&R]",-0.285051
"[n&H0&R](:[n&H1&R]:[c&H0&R]=[O&H0])-[C&H1]",-0.284766
"[N&H1]-[C&H2]-[C&H2]-[O&H0]-[C&H3]",-0.284175
"[N&H0]-[C&H2]-[C&H2]-[O&H0]-[C&H1]",-0.283095
"[C&H3]-[C&H0]=[N&H1]",-0.281922
"[N&H0&R]-[C&H2]-[C&H2]-[N&H0]-[C&H0]",-0.281780
"[N&H1]-[c&H0&R]:[n&H0&R]:[n&H0&R]:[n&H0&R]",-0.281721
"[c&H1&R]:[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.281218
"[O&H1]-[c&H0&R]:[n&H0&R]:[n&H0&R]:[c&H0&R]",-0.281175
"[c&H0&R]:[c&H0&R]-[N&H1]-[S&H0]-[N&H2]",-0.280984
"[S&H0]-[N&H1]-[c&H0&R]:[n&H0&R]-[c&H0&R]",-0.280550
"[S&H0]-[N&H1]-[c&H0&R]:[n&H0&R]:[c&H1&R]",-0.279320
"[O&H0]-[C&H2]-[C&H2]-[O&H1]",-0.278810
"[N&H1]-[C&H2]-[C&H1]-[C&H2]-[O&H0]",-0.277988
"[c&H0&R2]-[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.277444
