fragment,contribution
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[c&H0&R]",-0.705762
"[S&H0]-[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.684590
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H2&R2])-[C&H2&R2]",-0.672463
"[N&H1]-[C&H1&R2]-[C&H2&R2]-[N&H0&R3]-[C&H2&R2]",-0.671235
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H0&R2]",-0.666563
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.650435
"[C&H0]-[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.646808
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[c&H0&R]",-0.640436
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[c&H0&R]",-0.632611
"[c&H0&R]-[O&H0]-[C&H1]-[C&H0]-[O&H1]",-0.627821
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.627418
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H2&R2]",-0.626998
"[C&H0]-[N&H1]-[C&H1&R2]-[C&H2&R2]-[N&H0&R3]",-0.622508
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H1&R3]",-0.620125
"[c&H0&R2]:[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.609857
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H1&R3])-[C&H2&R2]",-0.604493
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H0&R]",-0.596251
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H1&R]",-0.594169
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[c&H0&R]",-0.591307
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[O&H1]",-0.575369
"[C&H0]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.571453
"[O&H1]-[C&H0]-[C&H2]-[c&H0&R]:[c&H1&R]",-0.571282
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]",-0.567182
"[O&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.560362
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.556265
"[N&H0&+]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",-0.555817
"[c&H0&R]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.555611
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.554498
"[N&H0&R]-[C&H1&R]=[N&H0&R]-[N&H0&R]-[O&H1]",-0.547046
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.543528
"[c&H0&R]-[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.542905
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H1&R3]-[C&H2&R2]",-0.541121
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.538057
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[N&H2]",-0.537812
"[c&H0&R]-[C&H0]=[N&H0]-[O&H1]",-0.535489
"[c&H0&R]:[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.535385
"[C&H0]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.531805
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]",-0.528897
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[c&H0&R]",-0.528488
"[S&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.526205
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H1]",-0.525499
"[c&H0&R]-[O&H0]-[C&H2]-[C&H1]-[O&H1]",-0.525026
"[S&H0]-[N&H0]-[C&H2]-[C&H0]=[O&H0]",-0.524941
"[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]-[c&H0&R2]",-0.524696
"[c&H0&R2]-[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.518072
"[C&H0](=[O&H0])-[O&H1]",-0.517574
"[O&H1]-[C&H0]-[C&H2]-[C&H2]-[C&H0]",-0.515406
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.515232
"[n&H0&R]:[c&H0&R]-[C&H0]=[N&H0]-[O&H1]",-0.515198
