fragment,contribution
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.646723
"[S&H0]-[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.619593
"[C&H0]-[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.613819
"[c&H0&R2]-[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.604894
"[C&H0&R]=[C&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.586280
"[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.553439
"[C&H0]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.552554
"[C&H0]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.552533
"[C&H0&R3]-[N&H1]-[C&H2]-[C&H0]=[O&H0]",-0.546458
"[N&H0]-[C&H2]-[C&H2]-[C&H0]-[C&H0]",-0.532494
"[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.523220
"[C&H3]-[N&H1]-[C&H1]-[C&H1]-[O&H1]",-0.521278
"[C&H3]-[C&H1]-[C&H0]-[O&H1]",-0.516870
"[n&H0&R]:[c&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.512540
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]=[O&H0]",-0.510166
"[C&H2]-[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.508908
"[C&H1]-[C&H0]-[O&H1]",-0.508359
"[C&H0]-[N&H1]-[C&H2]-[C&H0]=[O&H0]",-0.506225
"[c&H0&R]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.503085
"[c&H0&R2]:[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.500844
"[C&H2]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.500400
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[N&H2]",-0.496212
"[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.488387
"[c&H0&R]-[O&H0]-[C&H1]-[C&H0]-[O&H1]",-0.484862
"[C&H2&R2]-[C&H0&R3]-[C&H2]-[C&H0]-[O&H1]",-0.483478
"[C&H2]-[N&H1]-[C&H2]-[C&H2]-[O&H1]",-0.483027
"[c&H1&R]:[c&H0&R](-[C&H0]-[O&H1])-[O&H1]",-0.481723
"[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.480726
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.479130
"[C&H2&R]-[N&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.477599
"[C&H1]=[C&H1]-[C&H0]-[O&H1]",-0.473555
"[c&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.471260
"[c&H0&R2]-[N&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.471030
"[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]",-0.470664
"[C&H1]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.470342
"[C&H3]-[N&H0]-[C&H2]-[C&H1]-[O&H1]",-0.468649
"[S&H0]-[N&H0]-[C&H2]-[C&H0]=[O&H0]",-0.467289
"[C&H3]-[C&H0]=[N&H1]",-0.464717
"[C&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.463416
"[n&H0&R]-[C&H2]-[C&H2]-[C&H0]=[O&H0]",-0.462737
"[n&H0&R](-[C&H2]-[C&H0]-[O&H1]):[c&H0&R2]",-0.462203
"[n&H0&R]-[C&H2]-[C&H2]-[C&H0]-[C&H0]",-0.461082
"[c&H0&R2]:[c&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.461024
"[C&H2&R]-[N&H0&R]-[C&H2]-[C&H0&R]-[C&H0]",-0.457703
"[N&H1]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.457443
"[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.456461
"[n&H0&R](-[C&H2]-[C&H0]-[O&H1])-[c&H0&R2]",-0.454472
"[C&H0&R]-[C&H1&R]-[C&H2]-[C&H0]-[O&H1]",-0.452358
"[N&H1]-[C&H2]-[C&H2]-[C&H0]=[O&H0]",-0.447607
"[N&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.446532
"[C&H0]-[C&H0]-[O&H1]",-0.442776
"[c&H0&R]-[C&H0]-[O&H1]",-0.441254
"[S&H0]-[C&H2]-[C&H2]-[C&H0]=[N&H1]",-0.439268
"[n&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.437669
"[C&H3]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.436728
"[c&H0&R](-[C&H2])-[C&H2]-[C&H0]-[O&H1]",-0.435389
"[N&H0]-[C&H2]-[C&H1]-[O&H1]",-0.430791
"[n&H0&R]:[c&H1&R]:[c&H0&R]-[C&H0]-[O&H1]",-0.429269
"[n&H0&R]:[c&H0&R]-[N&H1]-[S&H0]-[C&H3]",-0.428942
"[n&H0&R]:[c&H0&R]-[C&H0](=[O&H0])-[O&H1]",-0.427769
"[c&H0&R]:[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.427357
"[C&H2]-[C&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.425695
"[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.425215
"[C&H0&R]=[C&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.418111
"[C&H2&R]-[N&H0&R]-[C&H1]-[C&H0]-[O&H1]",-0.415030
"[C&H1]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.412311
"[N&H0&R]-[C&H1&R]-[C&H2]-[C&H0]-[N&H2]",-0.411951
"[C&H2&R]-[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]",-0.408690
"[C&H1]=[C&H0]-[C&H0]-[O&H1]",-0.407430
"[C&H2]-[N&H1]-[C&H1]-[C&H2]-[O&H1]",-0.407040
"[C&H3]-[C&H0]-[C&H0]-[O&H1]",-0.405840
"[c&H0&R]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.405496
"[S&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.399841
"[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.398740
"[C&H0&R3]-[N&H1]-[C&H2]-[C&H0]",-0.397832
"[C&H2&R]-[C&H1&R]-[N&H1]-[C&H2]-[C&H2]",-0.396171
"[c&H0&R]-[N&H1]-[C&H0]-[N&H2]",-0.396017
"[c&H0&R]-[S&H0]-[C&H2]-[C&H0]=[O&H0]",-0.395600
"[O&H0]-[C&H1]-[C&H0]-[O&H1]",-0.395171
"[C&H1]-[N&H1]-[C&H1]-[C&H1]-[O&H1]",-0.392647
"[C&H3]-[C&H1]-[N&H1]-[C&H2]-[C&H2]",-0.392297
"[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.391751
"[c&H0&R2]:[n&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.390684
"[N&H0&R]-[C&H1]-[C&H0]-[O&H1]",-0.388762
"[n&H0&R]:[c&H0&R]-[C&H0]-[O&H1]",-0.384288
"[C&H2]-[N&H1]-[C&H2]-[C&H0]",-0.384230
"[n&H0&R]:[c&H0&R]-[N&H1]-[C&H0]=[N&H1]",-0.383675
"[c&H0&R](-[C&H2]-[O&H1])-[O&H1]",-0.383308
"[C&H2&R]-[C&H1&R]-[C&H2]-[C&H0]-[O&H1]",-0.383302
"[n&H0&R]:[c&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.383258
"[C&H3]-[n&H0&R]:[c&H0&R]-[C&H0]-[O&H1]",-0.382016
"[C&H1&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.381903
"[C&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.381286
"[N&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.380928
