fragment,contribution
"[C&H0](=[N&H1])-[N&H2]",-0.618017
"[C&H0&R]1(-[N&H2])-[C&H2&R]-[C&H2&R]-[C&H2&R]-1",-0.586905
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.563243
"[O&H1]-[C&H0]=[O&H0]",-0.554694
"[O&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.525796
"[C&H0]=[N&H1]",-0.486276
"[N&H1]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.482850
"[n&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.459280
"[C&H3]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.458229
"[C&H0&R]1(-[C&H2]-[N&H2])-[C&H2&R]-[C&H2&R]-1",-0.456358
"[N&H2]-[N&H1]-[C&H2]-[C&H2]",-0.453690
"[C&H0](=[O&H0])-[O&H1]",-0.451373
"[O&H1]-[C&H0](=[O&H0])-[C&H2]",-0.446928
"[N&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.442021
"[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.440854
"[C&H0&R]1=[N&H0&R]-[C&H2&R]-[C&H2&R]-[N&H1&R]-1",-0.439122
"[N&H1]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.434876
"[C&H3]-[C&H0]=[N&H1]",-0.434452
"[O&H1]-[C&H0]",-0.431682
"[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.430592
"[N&H2]-[C&H0&R]1-[C&H2&R]-[C&H2&R]-[C&H2&R]-1",-0.430413
"[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.422562
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[c&H0&R]",-0.418029
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",-0.414468
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.412796
"[c&H0&R]=[N&H1]",-0.411986
"[N&H2]-[N&H1]-[C&H2]-[C&H2]-[c&H0&R]",-0.409980
"[N&H2]-[C&H0]=[N&H1]",-0.405251
"[O&H0]-[C&H0]-[C&H0](=[O&H0])-[O&H1]",-0.404931
"[C&H1](-[N&H2])-[C&H2]",-0.401745
"[N&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.400446
"[O&H0]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.397059
"[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.394520
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H2&R2]",-0.394103
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.393556
"[C&H2&R]1-[C&H1&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]-1",-0.390216
"[C&H0]-[C&H0](=[O&H0])-[O&H1]",-0.387607
"[C&H1&R]1-[C&H2&R]-[N&H1&R]-[C&H2&R]-1",-0.386054
"[C&H0]=[N&H0][O&H1]",-0.384453
"[N&H2]-[N&H1]-[C&H2]",-0.384342
"[C&H0]-[C&H0]-[O&H1]",-0.383352
"[C&H0](-[C&H0](=[O&H0])-[O&H1])-[c&H0&R]",-0.383326
"[O&H1]-[C&H0](=[O&H0])-[C&H1&R]",-0.382016
"[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.381434
"[C&H1](-[C&H0](=[O&H0])-[O&H1])-[c&H0&R]",-0.381116
"[c&H0&R]-[C&H0](=[O&H0])-[O&H1]",-0.381074
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.380086
"[C&H1&R]-[C&H0](=[O&H0])-[O&H1]",-0.378448
"[C&H0&R2]1=[N&H0&R]-[C&H2&R]-[C&H2&R]-[N&H0&R2]-1",-0.377047
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[N&H1]",-0.375677
"[N&H2]-[C&H2]-[C&H2]",-0.375140
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[O&H0]",-0.374773
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H1&R3]",-0.374455
"[c&H0&R]-[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.374392
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H2&R2]",-0.371536
"[O&H0]-[C&H0]-[C&H0]-[O&H1]",-0.370463
"[N&H1]-[C&H0]=[N&H1]",-0.368491
"[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.367387
"[C&H1]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.365580
"[C&H1](-[C&H0](=[O&H0])-[O&H1])-[n&H0&R]",-0.364712
"[C&H1]-[C&H0]-[O&H1]",-0.363715
"[S&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.361724
"[C&H0&R3]-[C&H0](=[O&H0])-[O&H1]",-0.359445
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[N&H0&R]",-0.359333
"[N&H1]-[C&H1&R]1-[C&H2&R]-[N&H1&R]-[C&H2&R]-1",-0.358766
"[c&H0&R](-[C&H0](=[O&H0])-[O&H1]):[n&H0&R]",-0.357784
"[n&H0&R]:[n&H0&R]:[c&H0&R](-[N&H2]):[n&H1&R]",-0.357187
"[C&H2&R]1-[C&H2&R]-[N&H0&R]=[C&H0&R]-[N&H1&R]-1",-0.356296
"[O&H1]-[C&H0](=[O&H0])-[C&H1]",-0.355813
"[O&H0]-[C&H2]-[C&H2]-[O&H1]",-0.355673
"[C&H0&R]-[C&H0](=[O&H0])-[O&H1]",-0.354898
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[c&H0&R]",-0.353958
"[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.352757
"[C&H3]-[N&H1]-[C&H2]-[C&H2]",-0.352525
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H2&R2])-[C&H2&R2]",-0.351279
"[O&H0]-[C&H1]-[C&H0]-[O&H1]",-0.350765
"[C&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.350359
"[n&H0&R]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.349109
"[C&H3]-[C&H1](-[N&H2])-[C&H2]",-0.347163
"[c&H0&R]=[N&H0&+]-[C&H3]",-0.346993
"[c&H0&R]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.345552
"[n&H0&R]:[n&H0&R]:[n&H0&R]:[n&H1&R]",-0.342898
"[S&H0]=[N&H1]",-0.341602
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.341023
