fragment,contribution
"[C&H0](=[N&H1])-[N&H2]",-0.520633
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",-0.510066
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.498941
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[c&H0&R]",-0.497914
"[N&H2]-[N&H1]-[C&H2]-[C&H2]",-0.494940
"[N&H2]-[N&H1]-[C&H2]-[C&H2]-[c&H0&R]",-0.489405
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H2&R2]-[C&H0&R3]",-0.478432
"[C&H2&R]1-[C&H1&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]-1",-0.476188
"[C&H3]-[C&H0]=[N&H1]",-0.472438
"[C&H1]-[N&H2]",-0.471867
"[C&H2&R]1-[C&H1&R2]-[N&H0&R2]-[C&H2&R]-[C&H2&R]-1",-0.466430
"[O&H1]-[C&H0]-[C&H2]-[n&H0&R]:[n&H0&R]",-0.463755
"[C&H3]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.453247
"[N&H2]-[C&H0]=[N&H1]",-0.450498
"[C&H2&R]1-[C&H2&R]-[N&H0&R]=[C&H0&R]-[N&H1&R]-1",-0.447861
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H2&R2]",-0.445770
"[c&H0&R](=[N&H0&+](-[C&H3])-[C&H3]):[c&H1&R]",-0.444835
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.444355
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H1&R3]-[C&H2&R2]",-0.441725
"[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.431054
"[N&H2]-[C&H2]-[C&H2]",-0.429128
"[S&H0]-[N&H1]-[c&H0&R]:[n&H0&R]:[n&H0&R]",-0.427597
"[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.422238
"[n&H0&R2]1-[C&H2&R]-[C&H2&R]-[C&H2&R]-[c&H0&R2]:1",-0.420826
"[O&H1]-[C&H0]=[O&H0]",-0.415424
"[C&H0]=[N&H1]",-0.413802
"[C&H0&R3]-[N&H2]",-0.413483
"[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.412971
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.411514
"[N&H2]-[N&H1]-[C&H2]",-0.410435
"[N&H2]-[C&H2]-[C&H2]-[c&H0&R]:[c&H1&R]",-0.409360
"[C&H2&R2]1-[C&H1&R2]-[N&H1&R]-[C&H2&R]-[C&H1&R2]-1",-0.409192
"[O&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.408455
"[n&H0&R]:[n&H0&R]:[n&H1&R]:[n&H0&R]",-0.403982
"[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.401884
"[n&H0&R2]:[n&H0&R]:[c&H0&R](-[N&H2]):[n&H0&R]",-0.398800
"[C&H0]-[O&H1]",-0.397297
"[C&H2]-[N&H2]",-0.395375
"[C&H2&R]1-[C&H1&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]-1",-0.393612
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.393514
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.393484
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H0]",-0.393137
"[C&H3]-[N&H1]-[C&H2]-[c&H0&R]:[c&H1&R]",-0.391995
"[n&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.389555
"[N&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.389380
"[N&H2]-[C&H0&R]1-[C&H2&R]-[C&H2&R]-[C&H2&R]-1",-0.386173
"[N&H1]-[C&H0]=[N&H1]",-0.384420
"[O&H1]-[C&H0]-[C&H2]-[O&H0]",-0.381958
"[C&H2&R]1-[C&H1&R]-[N&H1&R]-[C&H2&R]-1",-0.381252
"[C&H0]-[S&H1]",-0.381156
"[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.381082
"[C&H1&R]-[N&H2]",-0.380361
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H1&R3]",-0.379600
"[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.379380
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[c&H0&R]",-0.378418
"[c&H0&R]-[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.377945
"[C&H2]-[C&H0]=[N&H1]",-0.376972
"[N&H2]-[C&H0&R3]-[C&H2&R2]",-0.375239
"[C&H3]-[N&H1]-[C&H2]-[C&H2]",-0.373273
"[C&H0](=[O&H0])-[O&H1]",-0.371977
"[n&H0&R]:[n&H0&R]:[c&H0&R](-[N&H2]):[n&H1&R]",-0.367932
"[C&H3]-[N&H1]-[C&H2]-[C&H2]-[C&H1]",-0.367515
"[C&H1&R]1-[C&H2&R]-[N&H1&R]-[C&H2&R]-1",-0.367123
"[n&H0&R]:[n&H0&R]:[c&H0&R]-[S&H0]-[N&H2]",-0.366640
"[C&H2&R]1-[C&H1&R2]-[N&H0&R2]-[C&H1&R2]-[C&H2&R]-1",-0.364860
"[O&H1]-[C&H0]-[C&H1]-[N&H1]-[C&H0]",-0.364466
"[S&H0]-[N&H1]-[C&H0]-[N&H1]-[N&H0&R]",-0.363858
"[n&H0&R]:[c&H0&R]-[N&H1]-[S&H0]-[c&H0&R]",-0.363646
"[C&H3]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.362884
"[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.361586
"[N&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.358182
"[n&H0&R]:[n&H0&R2]:[c&H0&R]-[O&H1]",-0.355991
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.355539
"[C&H0&R2]1=[N&H0&R]-[C&H2&R]-[C&H2&R]-[N&H0&R2]-1",-0.355178
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.354365
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H2&R2]",-0.353828
"[N&H1]-[C&H1&R2]-[C&H2&R2]-[N&H0&R3]-[C&H2&R2]",-0.352274
"[N&H1]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.350034
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H2&R2])-[C&H2&R2]",-0.349885
"[n&H0&R]:[c&H0&R]-[N&H1]-[S&H0]=[O&H0]",-0.348398
"[c&H0&R]-[C&H0]=[N&H1]",-0.347053
"[N&H0&R]1-[C&H2&R]-[C&H2&R]-[C&H2&R]-[C&H2&R]-1",-0.345962
"[n&H0&R2]:[c&H0&R]-[O&H1]",-0.344810
"[S&H0]-[N&H1]-[c&H0&R]:[n&H0&R]-[c&H0&R]",-0.344112
"[N&H2]-[C&H2]",-0.343886
"[N&H2]-[C&H2]-[C&H2]-[c&H0&R]",-0.343788
"[N&H1]-[C&H1]-[C&H2]-[O&H0]-[C&H2]",-0.342672
"[C&H3]-[C&H1](-[N&H2])-[C&H2]",-0.342449
"[O&H0]-[C&H2]-[C&H2]-[n&H0&R]:[n&H0&R]",-0.342159
"[O&H1]-[C&H0]-[C&H2]-[n&H0&R]",-0.341675
"[N&H2]-[C&H0](=[N&H1])-[c&H0&R]",-0.341167
