fragment,contribution
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.662787
"[N&H2]-[C&H1]-[C&H2]-[C&H0]=[O&H0]",-0.628638
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.600022
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.589803
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[c&H0&R]",-0.587164
"[O&H1]-[C&H0](=[O&H0])-[C&H2]",-0.586142
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H1&R]",-0.582995
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[n&H1&R]",-0.557992
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H0&R2]",-0.545623
"[O&H1]-[C&H0]=[O&H0]",-0.545556
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H2]",-0.536121
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]",-0.529790
"[N&H2]-[C&H2]-[C&H2]-[C&H1]",-0.529481
"[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.526926
"[O&H1]-[C&H0](=[O&H0])-[C&H1]",-0.522800
"[O&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.518120
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H2&R2]",-0.513742
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H1&R3]-[C&H2&R2]",-0.512560
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.510213
"[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.509131
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[S&H0]",-0.503732
"[S&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.502020
"[O&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.499001
"[C&H0]-[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.494310
"[N&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.493217
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H1&R3]",-0.493156
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.488209
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.484715
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H2&R2])-[C&H2&R2]",-0.481408
"[c&H0&R](-[C&H0](=[O&H0])-[O&H1]):[c&H0&R2]",-0.479179
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[C&H2]",-0.469359
"[c&H0&R](-[C&H0](=[O&H0])-[O&H1]):[c&H0&R]",-0.467178
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.466239
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[c&H0&R]",-0.466067
"[C&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.464662
"[N&H2]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.463635
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]",-0.462927
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[n&H0&R]",-0.461665
"[c&H0&R](-[C&H0](=[O&H0])-[O&H1]):[n&H0&R]",-0.457035
"[N&H2]-[C&H2]-[C&H2]",-0.456805
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H1&R3])-[C&H2&R2]",-0.455803
"[C&H0]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.449717
"[N&H2]-[C&H2]-[C&H0]-[O&H1]",-0.447402
"[C&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.444915
"[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.443441
"[C&H1](-[C&H0](=[O&H0])-[O&H1])-[c&H0&R]",-0.434840
"[C&H0]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.434763
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[c&H0&R]",-0.433741
"[n&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.432387
"[C&H1]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.432298
"[N&H1]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.429989
"[c&H0&R2]:[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.427267
"[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.426615
"[N&H1]-[C&H2]-[C&H2]-[C&H1]-[O&H1]",-0.423236
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H0&R]",-0.416650
