fragment,contribution
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H1&R3]-[C&H2&R2]",-0.888730
"[S&H0]-[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.862046
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.850239
"[O&H1]-[C&H0]-[C&H2]-[S&H0]-[C&H2]",-0.842085
"[O&H1]-[C&H0]-[C&H2]-[S&H0]-[c&H0&R]",-0.832684
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.808022
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[S&H0]",-0.803163
"[S&H0]-[N&H0]-[C&H2]-[C&H0]=[O&H0]",-0.796657
"[N&H0]-[C&H2]-[C&H2]-[C&H0]-[C&H0]",-0.754609
"[O&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.753096
"[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.744036
"[O&H1]-[C&H0]=[O&H0]",-0.727205
"[N&H2]-[C&H0](=[N&H1])-[c&H0&R]:[s&H0&R]",-0.721473
"[N&H2]-[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]",-0.720317
"[c&H0&R]-[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.701516
"[c&H0&R]-[O&H0]-[C&H1]-[C&H0]-[O&H1]",-0.695170
"[O&H1]-[C&H0]-[C&H2]-[S&H0]",-0.670834
"[N&H2]-[C&H1]-[C&H2]-[N&H1]",-0.665982
"[O&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.660385
"[N&H2]-[C&H1]-[C&H2]-[C&H0]=[O&H0]",-0.654700
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[O&H0]",-0.651898
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.644828
"[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.639900
"[C&H0]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.637952
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[c&H0&R]",-0.635196
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.628400
"[N&H0]-[C&H2]-[C&H2]-[O&H0]-[C&H0]",-0.623394
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.621888
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.620550
"[N&H2]-[C&H0](=[N&H1])-[N&H1]-[c&H0&R]",-0.618661
"[N&H0&R]-[S&H0]-[N&H1]-[C&H0]=[O&H0]",-0.617768
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[c&H0&R]",-0.609885
"[N&H2]-[C&H0](=[N&H1])-[c&H0&R]",-0.607695
"[C&H0]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.607192
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.602708
"[N&H2]-[C&H0](=[N&H1])-[c&H0&R]:[c&H1&R]",-0.601176
"[c&H0&R]:[n&H1&R]:[n&H0&R]:[n&H0&R]:[n&H1&R]",-0.599848
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H1&R]",-0.598959
"[N&H2]-[C&H0](=[N&H1])-[N&H1]",-0.592541
"[O&H1]-[C&H0]-[C&H2]-[C&H2]-[C&H0]",-0.585244
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H1&R3])-[C&H2&R2]",-0.582792
"[N&H2]-[C&H0](=[N&H1])-[N&H1]-[C&H0]",-0.578172
"[O&H1]-[C&H0](=[O&H0])-[C&H2]",-0.576703
"[N&H2]-[C&H0](=[N&H1])-[N&H1]-[C&H2]",-0.574903
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[n&H1&R]",-0.574635
"[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.574280
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[N&H2]",-0.573981
"[N&H2]-[C&H0](=[N&H1])-[S&H0]",-0.571260
"[c&H0&R]-[N&H0]-[C&H1]-[C&H0]=[O&H0]",-0.570432
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[O&H0]",-0.570129
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H2&R2])-[C&H2&R2]",-0.568532
"[N&H2]-[C&H0](=[N&H1])-[S&H0]-[C&H2]",-0.567426
"[O&H1]-[C&H0&R](=[N&H0&R]-[C&H0&R])-[N&H1&R]",-0.567296
"[c&H0&R2]-[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.563419
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H0&R]",-0.561135
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]",-0.555284
"[C&H0]-[N&H0]-[C&H1]-[C&H0]=[O&H0]",-0.555225
"[C&H0]-[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.552297
"[S&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.551237
"[N&H0&R]-[C&H1&R]-[C&H2]-[N&H1]-[C&H0]",-0.550193
"[O&H1]-[C&H0](=[O&H0])-[C&H1]",-0.549247
"[C&H0]-[N&H1]-[S&H0](=[O&H0])=[O&H0]",-0.547278
"[c&H0&R]-[N&H0&R]-[S&H0&R](-[N&H1&R])=[O&H0]",-0.545669
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H2]",-0.545000
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.542166
"[N&H2]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.541501
"[N&H2]-[C&H0&R3]-[C&H2&R2]",-0.540469
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H0]",-0.539582
"[O&H0]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.536520
"[C&H0]-[N&H1]-[C&H1]-[S&H0]=[O&H0]",-0.534716
"[C&H0](=[N&H1])-[N&H2]",-0.532915
"[N&H0]-[C&H2]-[C&H1]-[C&H2]-[O&H0]",-0.530613
"[N&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.527365
"[c&H0&R]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.524944
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[O&H1]",-0.521745
"[N&H2]-[C&H0&R](=[N&H0&R]-[C&H1&R])-[N&H1&R]",-0.520374
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[c&H0&R]",-0.519565
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H0&R2]",-0.518836
"[c&H0&R]-[O&H0]-[C&H1]-[C&H0]=[O&H0]",-0.515650
"[O&H0]=[C&H0]-[N&H1]-[C&H1&R2]-[C&H2&R2]",-0.514386
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H2&R2]",-0.511085
"[C&H2]-[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.510669
"[N&H0&R]-[C&H1&R]=[N&H0&R]-[N&H0&R]-[O&H1]",-0.510457
"[c&H1&R]:[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.507914
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[C&H1]",-0.506551
"[N&H2]-[N&H1]-[C&H0]=[O&H0]",-0.505838
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[N&H1]",-0.505535
"[C&H0](=[N&H0])-[N&H2]",-0.505452
"[C&H0&R]-[N&H0&R]-[C&H1]-[C&H0]-[O&H1]",-0.505430
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[c&H0&R]",-0.501453
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[C&H2]",-0.500802
"[c&H0&R]-[N&H0&R]-[S&H0&R]-[N&H1&R]",-0.499597
"[C&H0]-[N&H1]-[S&H0]-[N&H2]",-0.498843
"[C&H0]-[N&H1]-[C&H1]-[C&H0]=[O&H0]",-0.494523
"[C&H3]-[C&H1](-[N&H2])-[C&H2]",-0.491314
"[C&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.486501
"[c&H0&R](-[C&H0]-[O&H1]):[c&H0&R]-[O&H1]",-0.486249
"[N&H1]-[C&H2]-[C&H2]-[C&H1]-[O&H1]",-0.485273
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H1]",-0.483850
"[c&H0&R2]-[C&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.483506
"[C&H3]-[C&H1](-[N&H2])-[C&H0]=[O&H0]",-0.483202
"[c&H0&R]-[O&H0]-[S&H0](=[O&H0])=[O&H0]",-0.480409
"[N&H1]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.480210
"[c&H0&R]-[N&H0&R]-[S&H0&R]-[N&H1&R]-[C&H0&R]",-0.474575
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H0]",-0.471973
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.471847
"[n&H0&R]:[n&H1&R]:[n&H0&R]:[n&H0&R]",-0.471629
"[C&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.470720
"[N&H0]-[C&H2]-[C&H2]-[C&H0]",-0.469678
"[O&H0]-[C&H1](-[C&H3])-[C&H0]-[O&H1]",-0.468285
"[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.463911
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[c&H0&R]",-0.462494
"[O&H1]-[C&H0&R](=[N&H0&R])-[N&H1&R]-[C&H0&R]",-0.461096
"[N&H1]-[C&H2]-[C&H1]-[C&H2]-[O&H1]",-0.457568
"[N&H0&R]=[C&H0&R](-[N&H2])-[N&H0&R]-[C&H0&R]",-0.457382
"[N&H1]-[C&H1&R2]-[C&H2&R2]-[N&H0&R3]-[C&H2&R2]",-0.453681
"[C&H0]-[N&H0&R]-[C&H1&R]-[C&H0]-[O&H1]",-0.453008
"[N&H1]-[C&H2]-[C&H1]-[C&H2]-[O&H0]",-0.452864
"[C&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.452268
"[c&H0&R]-[N&H0&R]-[S&H0&R]=[O&H0]",-0.451023
"[c&H0&R]-[S&H0]-[N&H1]-[C&H0]=[O&H0]",-0.450749
"[O&H1]-[C&H0]-[C&H1]-[N&H1]-[C&H0]",-0.448255
"[C&H2&R]-[N&H0&R]-[C&H1]-[C&H0]-[O&H1]",-0.447819
"[C&H0](=[N&H1])-[N&H1]-[S&H0]=[O&H0]",-0.447189
"[c&H0&R](-[C&H0]-[O&H1]):[c&H0&R]-[O&H0]",-0.446220
"[c&H0&R]-[N&H1]-[C&H0](=[N&H1])-[c&H0&R]",-0.444501
"[N&H0&R]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.443433
"[O&H1]-[C&H0]-[C&H2]-[C&H2]-[n&H0&R]",-0.439860
"[C&H0]-[N&H1]-[C&H1&R2]-[C&H2&R2]-[N&H0&R3]",-0.439031
"[S&H0]-[N&H0&R]-[N&H0&R]=[C&H1&R]-[c&H0&R2]",-0.438013
"[C&H0]-[C&H2]-[C&H1]-[C&H0]=[O&H0]",-0.437849
"[C&H0&R]=[C&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.436523
"[F&H0]-[c&H0&R]:[c&H0&R]-[C&H0]=[O&H0]",-0.435910
"[O&H1]-[C&H0]-[C&H2]-[C&H2]-[c&H0&R]",-0.435791
"[c&H0&R]-[C&H2]-[C&H1]-[C&H0]-[O&H1]",-0.435765
