fragment,contribution
"[C&H0](=[N&H1])-[N&H2]",-0.781850
"[C&H3]-[C&H0](=[N&H1])-[N&H1]-[c&H0&R]",-0.743147
"[C&H3]-[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]",-0.709574
"[C&H3]-[C&H0](=[N&H1])-[c&H0&R]:[c&H1&R]",-0.709441
"[C&H3]-[C&H0](=[N&H1])-[c&H0&R]:[s&H0&R]",-0.696455
"[C&H3]-[C&H0](=[N&H1])-[N&H1]-[C&H2]",-0.683470
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[c&H0&R]",-0.659884
"[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.651279
"[C&H1&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.636980
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.630877
"[C&H3]-[C&H0](=[N&H1])-[N&H1]",-0.614837
"[c&H0&R](=[N&H0&+]-[C&H3])-[C&H3]",-0.598350
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[N&H2]",-0.589404
"[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]-[c&H0&R2]",-0.583056
"[C&H0](=[N&H1])-[N&H1]-[c&H0&R]:[s&H0&R]",-0.561904
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[N&H1]",-0.549922
"[C&H0](=[N&H1])-[N&H1]-[c&H0&R]:[c&H1&R]",-0.544437
"[C&H0]-[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.539735
"[C&H0](=[N&H1])-[N&H0&R]",-0.538961
"[C&H1&R2]-[C&H2&R]-[N&H1&R]-[C&H2&R]",-0.537878
"[C&H3]-[C&H1](-[N&H2])-[C&H2]",-0.533341
"[C&H1]-[N&H1]-[C&H2]-[C&H2]-[N&H1]",-0.532729
"[C&H0]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.526615
"[C&H3]-[C&H0](=[N&H1])-[c&H0&R]",-0.526418
"[C&H3]-[C&H1](-[N&H2])-[C&H0]=[O&H0]",-0.525653
"[C&H0]-[C&H2]-[S&H0]-[C&H2]-[C&H0]",-0.525650
"[n&H0&R]:[c&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.525307
"[N&H0&+]-[O&H0&-]",-0.525157
"[C&H0](=[N&H1])-[N&H1]",-0.525047
"[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.524470
"[c&H0&R2]:[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.524294
"[C&H0]-[C&H2]-[C&H2]-[N&H0&+]-[O&H0&-]",-0.523291
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.523220
"[C&H0](=[N&H1])-[N&H1]-[C&H2]-[c&H0&R]",-0.521163
"[c&H0&R](=[N&H0&+](-[C&H3])-[C&H3])-[C&H3]",-0.519109
"[C&H2]-[N&H1]-[C&H2]-[C&H2]-[O&H1]",-0.516300
"[c&H0&R]=[N&H0&+]-[C&H3]",-0.509587
"[C&H0]-[N&H1]-[C&H2]-[C&H2]-[N&H1]",-0.502456
"[C&H0]-[N&H1]-[C&H2]-[C&H2]-[O&H1]",-0.502035
"[C&H0](=[N&H1])-[N&H1]-[c&H0&R]",-0.494949
"[C&H3]-[C&H0](=[O&H0])-[N&H0&R]-[c&H0&R2]",-0.492255
"[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]",-0.492246
"[C&H0](=[N&H1])-[N&H1]-[S&H0]-[N&H2]",-0.489743
"[C&H3]-[C&H0](=[N&H1])-[N&H1]-[S&H0]",-0.488973
"[n&H0&R]-[C&H1&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]",-0.488189
"[N&H0]-[C&H2]-[C&H2]-[N&H1]-[C&H2]",-0.484919
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.484044
"[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]-[C&H2&R]",-0.481916
"[C&H2]-[N&H1]-[C&H2]-[C&H2]-[N&H1]",-0.480708
"[C&H2]-[C&H1](-[N&H2])-[C&H2]-[c&H0&R]",-0.480510
"[N&H0&R]-[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]",-0.479013
