fragment,contribution
"[C&H0](=[N&H1])-[N&H2]",-0.745918
"[O&H1]-[C&H0]=[O&H0]",-0.600829
"[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.524735
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",-0.517743
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.494554
"[C&H0&R]1(-[N&H2])-[C&H2&R]-[C&H2&R]-[C&H2&R]-1",-0.470994
"[c&H0&R]-[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.470348
"[S&H0]-[N&H1]-[c&H0&R]:[n&H0&R]:[n&H0&R]",-0.464909
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.443867
"[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.425536
"[N&H0]=[C&H0](-[N&H2])-[N&H2]",-0.424831
"[S&H0]-[N&H1]-[c&H0&R]:[n&H0&R]:[c&H0&R]",-0.423163
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.416505
"[c&H1&R]:[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.413056
"[S&H0]-[N&H1]-[C&H0]=[O&H0]",-0.412818
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[S&H0]",-0.410498
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H1&R3])-[C&H2&R2]",-0.410489
"[C&H0](=[N&H1])-[N&H0&R]",-0.407195
"[C&H0](=[O&H0])-[O&H1]",-0.400976
"[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.397034
"[O&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.393538
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[C&H2]",-0.392129
"[N&H1]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.385750
"[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.383228
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H1&R3]-[C&H2&R2]",-0.382432
"[N&H2]-[C&H2]-[C&H0]-[O&H1]",-0.378525
"[N&H1]-[C&H2]-[C&H2]-[N&H2]",-0.378023
"[O&H1]-[C&H0](=[O&H0])-[C&H1]",-0.376148
"[N&H1]-[C&H2]-[C&H2]-[O&H1]",-0.375859
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H1]",-0.375661
"[C&H0]-[N&H1]-[S&H0](=[O&H0])=[O&H0]",-0.371082
"[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.365603
"[C&H0]-[O&H1]",-0.365489
"[C&H0](=[N&H1])-[N&H1]-[S&H0]=[O&H0]",-0.360810
"[C&H1]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.357174
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.357154
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[N&H1]",-0.356570
"[C&H1](-[N&H2])-[C&H2]",-0.356221
"[N&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.355991
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H2&R2]",-0.353713
"[N&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.353016
"[O&H1]-[B&H0]-[O&H1]",-0.352227
"[C&H1]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.351876
"[c&H0&R]-[N&H0&R]-[C&H0&R](=[N&H0&R])-[N&H2]",-0.347719
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H1&R3]",-0.347649
"[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]",-0.347323
"[c&H0&R]-[N&H0]-[C&H0](=[N&H1])-[N&H1]",-0.347086
"[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.344388
"[C&H1]-[O&H1]",-0.344315
"[O&H1]-[C&H0]",-0.340869
"[c&H0&R][C&H0](=[N&H0])-[N&H2]",-0.337422
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H2&R2])-[C&H2&R2]",-0.336038
"[C&H0]-[N&H1]-[S&H0]=[O&H0]",-0.334413
"[O&H1]-[C&H0](=[O&H0])-[C&H2]",-0.333868
"[n&H0&R]:[n&H0&R2]:[c&H0&R]-[O&H1]",-0.330390
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H2&R2]-[C&H0&R3]",-0.327572
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.324699
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[N&H2]",-0.324539
"[n&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.323737
"[C&H1]-[N&H1]-[C&H1]-[C&H1]-[O&H1]",-0.323070
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.322944
"[N&H2]-[C&H2]-[C&H2]",-0.319598
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H0]",-0.318610
"[S&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.317641
"[O&H1]-[C&H0&R]=[N&H0&R]",-0.316794
"[C&H1]-[N&H2]",-0.315433
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]",-0.315231
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H0]",-0.314790
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[c&H0&R]",-0.314646
"[C&H0]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.312122
"[N&H1]-[O&H1]",-0.311957
"[N&H0&R]-[S&H0]-[N&H1]-[C&H0]=[O&H0]",-0.311586
"[N&H1]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.310970
"[n&H0&R]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.309353
"[N&H0]-[C&H2]-[C&H2]-[O&H1]",-0.309308
"[C&H0&R3]-[C&H0](=[O&H0])-[O&H1]",-0.307440
"[O&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.306759
"[O&H0]-[C&H2]-[C&H2]-[N&H2]",-0.304583
"[N&H2]-[C&H0&R]1-[C&H2&R]-[C&H2&R]-[C&H2&R]-1",-0.304077
"[c&H0&R]-[S&H0]-[N&H1]-[C&H0]=[O&H0]",-0.302614
