fragment,contribution
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.617297
"[O&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.603600
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.545733
"[O&H1]-[C&H0]=[O&H0]",-0.544173
"[N&H2]-[C&H2]-[C&H2]",-0.543630
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.539808
"[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.537586
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.530994
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[c&H0&R]",-0.529698
"[n&H0&R]:[c&H0&R]-[C&H2]-[S&H0&+]-[O&H0&-]",-0.528940
"[O&H1]-[C&H0]-[C&H2]-[C&H2]-[C&H0]",-0.508789
"[n&H0&R]-[C&H2]-[C&H2]-[C&H0]=[O&H0]",-0.497912
"[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.496871
"[N&H1]-[C&H1]-[C&H2]-[C&H0]=[O&H0]",-0.494380
"[N&H1]-[C&H1&R2]-[C&H2&R2]-[N&H0&R3]-[C&H2&R2]",-0.493251
"[S&H0]-[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.491107
"[O&H0]-[C&H2]-[C&H2]-[C&H0]=[O&H0]",-0.485906
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.474287
"[N&H2]-[C&H2]-[C&H0]-[O&H1]",-0.473928
"[c&H0&R]-[S&H0]-[N&H1]-[C&H0]=[O&H0]",-0.471266
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[c&H0&R]",-0.469704
"[C&H0]-[N&H0&R2]-[C&H2&R2]-[C&H2&R2]-[N&H0&R3]",-0.469662
"[c&H0&R]-[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.469357
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.467406
"[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.465831
"[S&H0]-[N&H0]-[C&H2]-[C&H0]=[O&H0]",-0.461860
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H1]",-0.461434
"[C&H0]-[N&H1]-[C&H1&R2]-[C&H2&R2]-[N&H0&R3]",-0.458837
"[O&H0]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.458803
"[c&H0&R]-[O&H0]-[C&H1]-[C&H0]-[O&H1]",-0.455665
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.451836
"[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.447903
"[N&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.445305
"[O&H1]-[C&H0]-[C&H2]-[C&H2]-[n&H0&R]",-0.445225
"[O&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.444488
"[N&H2]-[C&H2]",-0.443145
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[N&H2]",-0.442865
"[n&H0&R]:[c&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.442854
"[C&H0]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.442510
"[c&H0&R]-[S&H0]-[N&H1]-[C&H0]-[N&H0&R]",-0.440825
"[C&H0]-[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.439843
"[N&H1]-[C&H1&R2]-[C&H2&R2]-[N&H0&R3]",-0.439619
"[n&H0&R]:[c&H0&R]-[C&H0]=[N&H0]-[O&H1]",-0.439133
