fragment,contribution
"[C&H0](=[N&H1])-[N&H2]",-0.926276
"[O&H1]-[C&H0]=[O&H0]",-0.702889
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.650715
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.640659
"[O&H1]-[C&H0](=[O&H0])[C&H1]=[C&H1]",-0.630960
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[N&H1]",-0.627135
"[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.615344
"[C&H0]-[O&H1]",-0.607657
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[C&H2]",-0.604550
"[C&H0]=[N&H1]",-0.591409
"[O&H1]-[C&H0](=[O&H0])-[C&H1]",-0.542469
"[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]",-0.536031
"[c&H0&R]=[N&H1]",-0.528583
"[C&H0&R]-[O&H1]",-0.514081
"[C&H1]-[O&H1]",-0.511377
"[C&H0&R2]-[O&H1]",-0.507394
"[S&H0]=[N&H1]",-0.505541
"[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.496501
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",-0.460326
"[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]-[C&H2&R]",-0.458035
"[O&H1]-[C&H0](=[O&H0])-[C&H2]",-0.449953
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H2]",-0.448742
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.439350
"[O&H1]-[C&H0](=[O&H0])-[C&H1&R]",-0.438322
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[c&H0&R]",-0.419331
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[S&H0]",-0.411582
"[N&H2]-[C&H2]-[C&H2]",-0.411402
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.411115
"[N&H1]-[C&H1]-[C&H2]-[O&H1]",-0.405999
"[C&H0](=[N&H1])-[c&H0&R]",-0.405507
"[C&H0](=[O&H0])-[O&H1]",-0.405218
"[C&H0]-[C&H0](=[O&H0])-[O&H1]",-0.400122
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[N&H0&R]",-0.389940
"[C&H0](=[N&H1])-[N&H0&R]",-0.388428
"[C&H0]=[N&H0][O&H1]",-0.386780
"[C&H3]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.379215
"[N&H2]-[N&H1]-[C&H2]-[C&H2]",-0.370051
"[n&H0&R2]:[c&H0&R]-[O&H1]",-0.369229
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.368232
"[N&H2]-[C&H2]-[C&H2]-[c&H0&R]",-0.366660
"[N&H1]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.366382
"[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.365089
"[c&H0&R]-[C&H0](=[O&H0])-[O&H1]",-0.363622
"[C&H0&R]-[C&H0](=[O&H0])-[O&H1]",-0.361691
"[C&H0]-[C&H2]-[O&H1]",-0.361185
"[C&H0]-[C&H0]-[O&H1]",-0.359025
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]",-0.358719
"[c&H1&R]:[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.358695
"[O&H0]-[C&H1]-[C&H0]-[O&H1]",-0.356499
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.353135
"[N&H2]-[N&H1]-[C&H2]-[C&H2]-[c&H0&R]",-0.352399
"[C&H0]-[N&H1]-[O&H1]",-0.351591
"[C&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.351242
"[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]-[c&H0&R2]",-0.349601
"[C&H3]-[N&H1]-[C&H2]-[C&H2]",-0.347451
"[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.344976
