fragment,contribution
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.580688
"[C&H0](=[N&H1])-[N&H2]",-0.555702
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.555317
"[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.499589
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H2&R2]-[C&H0&R3]",-0.495479
"[N&H2]-[C&H2]-[C&H0]-[O&H1]",-0.492678
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[N&H2]",-0.488472
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[S&H0]",-0.486073
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.485735
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.479571
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",-0.476774
"[N&H0]-[C&H2]-[C&H2]-[O&H0]-[C&H0]",-0.472546
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.470792
"[O&H1]-[C&H0]=[O&H0]",-0.450836
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[C&H1]",-0.435337
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[O&H0]",-0.431315
"[N&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.427893
"[N&H0]-[C&H2]-[C&H2]-[O&H0]-[C&H2]",-0.425368
"[O&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.423432
"[O&H1]-[C&H0]-[C&H2]-[O&H0]",-0.422435
"[N&H2]-[C&H2]-[C&H2]-[C&H1]",-0.422422
"[C&H1]-[N&H1]-[C&H2]-[C&H1]-[C&H0]",-0.416907
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H1&R3]-[C&H2&R2]",-0.415043
"[O&H1]-[C&H0](=[O&H0])-[C&H1&R]-[N&H1&R]",-0.413787
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.409659
"[N&H1]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.406427
"[N&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.404662
"[N&H0]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.404050
"[N&H1]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.399413
"[N&H0]-[C&H2]-[C&H2]-[O&H0]-[C&H1]",-0.398489
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H1&R3]",-0.396923
"[N&H2]-[C&H1]-[C&H2]-[C&H0]=[O&H0]",-0.396539
"[N&H0]-[C&H2]-[C&H2]-[C&H0]-[C&H0]",-0.391700
"[C&H1]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.390914
"[S&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.389065
"[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.383846
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",-0.383779
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[N&H1]",-0.382285
"[N&H0&+]-[C&H2]-[C&H2]-[O&H0]-[C&H0]",-0.380434
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[C&H3]",-0.380125
"[c&H1&R]:[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.379303
"[O&H1]-[C&H0]-[C&H1]-[N&H1]-[C&H0]",-0.379163
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[n&H1&R]",-0.376821
"[C&H0](=[N&H1])-[N&H1]-[C&H0]=[O&H0]",-0.376024
"[N&H2]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.372884
"[O&H1]-[C&H0]-[C&H2]-[S&H0]",-0.371234
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.370902
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H2&R2]",-0.369985
"[C&H1]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.366168
"[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.365896
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[C&H2]",-0.364696
"[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.362928
"[O&H1]-[C&H0]-[C&H2]-[S&H0]=[O&H0]",-0.360700
"[N&H0]-[C&H2]-[C&H2]-[O&H1]",-0.357144
"[O&H1]-[C&H0](=[O&H0])-[C&H2]",-0.356283
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H1&R]",-0.354109
"[C&H0](=[N&H1])-[N&H1]-[S&H0]-[N&H2]",-0.353843
"[n&H0&R]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.353580
