fragment,contribution
"[O&H1]-[C&H0]=[O&H0]",-1.194000
"[C&H0](=[N&H0])[N&H2]",-1.131857
"[C&H0](=[O&H0])-[O&H1]",-1.001302
"[C&H0](=[N&H1])-[N&H2]",-0.970507
"[C&H0]=[N&H1]",-0.842569
"[C&H0](=[N&H0]\[O&H1])\[N&H2]",-0.698685
"[c&H0&R]=[N&H1]",-0.694309
"[c&H0&R]/[C&H0](=[N&H0]/[O&H1])-[N&H2]",-0.689404
"[c&H0&R]/[C&H0](=[N&H0]/[O&H1])-[N&H1]",-0.686701
"[C&H0&R]1(-[N&H2])-[C&H2&R]-[C&H2&R]-[C&H2&R]-1",-0.626921
"[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.619494
"[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.616095
"[c&H0&R]-[C&H0](=[O&H0])-[O&H1]",-0.604816
"[C&H0]-[C&H0](=[O&H0])-[O&H1]",-0.588440
"[C&H1&R]-[C&H0](=[O&H0])-[O&H1]",-0.586743
"[O&H1]-[C&H0](=[O&H0])-[C&H2]",-0.585004
"[C&H0&R3]-[C&H0](=[O&H0])-[O&H1]",-0.566085
"[c&H0&R]/[C&H0]=[N&H0]/[O&H1]",-0.561611
"[C&H0&R]-[C&H0](=[O&H0])-[O&H1]",-0.560873
"[c&H0&R]=[N&H0&+]-[C&H3]",-0.530352
"[C&H2]-[C&H0&R](=[N&H0&R])-[N&H1&R]",-0.507777
"[C&H0](=[N&H0])[N&H1]",-0.496440
"[c&H0&R]=[N&H0&+](-[C&H3])-[C&H3]",-0.488341
"[c&H0&R][C&H0](=[N&H0])-[N&H2]",-0.487789
"[C&H0](=[C&H1])[O&H0]",-0.473349
"[O&H1]-[B&H0]-[O&H1]",-0.465288
"[C&H3]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.454772
"[C&H2&R]-[N&H1&R]-[C&H2&R]",-0.451158
"[C&H2&R]-[N&H1&R]",-0.419573
"[c&H0&R](=[N&H0&+](-[C&H3])-[C&H3]):[c&H1&R]",-0.416979
"[C&H2]-[N&H1]-[C&H2]-[C&H2]-[O&H1]",-0.413001
"[N&H2]-[C&H2]-[C&H2]",-0.410781
"[C&H3]-[C&H0]=[N&H1]",-0.409438
"[C&H3]-[C&H0]=[O&H0]",-0.394875
"[c&H1&R]:[c&H0&R]=[N&H0&+](-[C&H3])-[C&H3]",-0.380579
"[c&H0&R](=[N&H0&+]-[C&H3]):[c&H1&R]",-0.377301
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]",-0.372633
"[C&H2&R]1-[C&H1&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]-1",-0.372448
"[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.369912
"[C&H3]-[N&H1]-[C&H2]-[C&H2]",-0.369641
"[C&H2]-[N&H1]-[C&H3]",-0.367042
"[O&H1]-[C&H0](=[O&H0])-[C&H1&R]",-0.364975
"[C&H0](=[O&H0])-[C&H2]-[O&H1]",-0.364276
"[c&H1&R]:[c&H0&R]=[O&H0]",-0.360523
"[c&H1&R]:[c&H0&R]=[N&H0&+]",-0.355482
"[C&H3]-[N&H1]-[C&H2]",-0.351911
"[C&H3]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.351884
"[c&H0&R](=[N&H0&+]):[c&H1&R]",-0.350364
"[C&H0](-[C&H0](=[O&H0])-[O&H1])-[c&H0&R]",-0.347929
"[C&H2]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.340870
"[N&H2]-[C&H0]=[N&H1]",-0.340304
"[N&H2]-[N&H1]-[C&H2]",-0.340002
"[O&H1]-[C&H0](=[O&H0])-[C&H1]",-0.338902
"[N&H2]-[C&H0]=[N&H0]",-0.338329
"[C&H0](-[C&H0])(=[O&H0])-[O&H1]",-0.336507
"[N&H2]-[C&H0]=[O&H0]",-0.331597
"[C&H1&R2]-[O&H1]",-0.331461
"[C&H0](=[O&H0])-[C&H0]-[O&H1]",-0.327764
"[C&H2]-[C&H0]=[N&H1]",-0.326045
"[c&H0&R](-[C&H0](=[O&H0])-[O&H1]):[c&H0&R2]",-0.324814
"[C&H1&R]-[O&H1]",-0.323882
"[C&H0](=[O&H0])-[C&H1]-[O&H1]",-0.323583
"[C&H2]-[C&H0]=[N&H0]",-0.322551
"[c&H1&R]:[c&H0&R]=[N&H0&+]-[C&H3]",-0.322359
"[C&H0&R2]-[O&H1]",-0.320822
"[C&H1]-[O&H1]",-0.318183
"[N&H1&R]-[C&H2&R]-[N&H1&R]",-0.317878
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.314874
"[C&H3]-[N&H0&R2](-[C&H1&R2]-[C&H2&R])-[C&H1&R2]",-0.313792
"[C&H2]-[C&H0]=[O&H0]",-0.311240
"[C&H2]-[N&H2]",-0.310467
"[c&H0&R](-[C&H0](=[O&H0])-[O&H1]):[c&H0&R]",-0.310171
"[O&H1]-[C&H1&R]-[C&H2&R]-[N&H1&R]",-0.308471
"[N&H1]-[O&H1]",-0.308261
"[s&H0&R]:[c&H0&R]=[O&H0]",-0.308253
"[C&H2&R]1-[C&H1&R]-[N&H1&R]-[C&H2&R]-1",-0.307730
"[N&H2]-[C&H2]",-0.304577
"[N&H2]",-0.304432
"[C&H2]-[C&H0]=[C&H2]",-0.303745
"[C&H3]-[N&H1]-[C&H1&R](-[C&H2&R])-[C&H2&R]",-0.302415
"[C&H1]-[N&H2]",-0.299907
"[C&H3]/[N&H0]=[C&H0]\[S&H1]",-0.299674
"[C&H3]-[C&H1]-[N&H1]-[C&H2]",-0.297266
"[N&H0]-[O&H1]",-0.296528
"[C&H3]-[N&H1]-[C&H2]-[C&H1]",-0.295144
"[C&H0](-[C&H1&R])(=[O&H0])-[O&H1]",-0.293920
"[S&H1]-[c&H0&R]:[n&H1&R]:[c&H0&R]=[O&H0]",-0.293876
"[C&H0](=[O&H0])-[N&H1]-[O&H1]",-0.293596
"[C&H3]-[N&H0&R2](-[C&H1&R2])-[C&H1&R2]",-0.293463
"[C&H3]-[N&H1]-[C&H1]-[C&H1]-[O&H1]",-0.292255
"[c&H0&R](-[C&H0](=[O&H0])-[O&H1]):[n&H0&R]",-0.291282
"[P&H0]-[O&H1]",-0.290979
"[C&H0](-[C&H1])(=[O&H0])-[O&H1]",-0.290838
"[O&H1]-[C&H0](=[O&H0])-[C&H1&R]-[N&H1&R]",-0.284852
"[C&H3]-[C&H2]-[N&H1]-[C&H2]",-0.284466
"[n&H0&R]:[c&H0&R]=[N&H1]",-0.283543
"[C&H3]-[N&H0&R2](-[C&H1&R2])-[C&H1&R2]-[C&H1&R2]",-0.282953
"[N&H2]-[N&H1]-[C&H2]-[C&H2]",-0.281399
"[C&H0&R](=[N&H0&R])-[S&H1]",-0.279885
"[o&H0&R]:[c&H0&R]=[O&H0]",-0.279476
"[C&H2&R]1-[C&H1&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]-1",-0.278603
"[C&H1]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.276710
"[C&H2]-[N&H1]-[C&H1&R](-[C&H2&R])-[C&H2&R]",-0.276174
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.276065
"[C&H2&R](-[C&H2&R])-[N&H1&R]",-0.275610
"[n&H0&R]:[c&H0&R]=[O&H0]",-0.275457
"[C&H3]-[C&H0&R](=[N&H0&R])-[N&H1&R]",-0.274651
"[C&H3]-[N&H1]-[C&H0&R]-[C&H3]",-0.273521
"[N&H1]-[C&H2]-[C&H2]-[N&H2]",-0.273070
"[n&H0&R]:[c&H0&R]=[S&H0]",-0.270394
"[N&H2]-[N&H1]",-0.269921
"[C&H0]-[S&H1]",-0.269746
"[c&H0&R2]:[c&H0&R]=[O&H0]",-0.269599
"[C&H1&R]-[C&H0]=[O&H0]",-0.268963
"[C&H3]-[N&H1]-[C&H1]-[C&H3]",-0.266211
"[S&H1]-[c&H0&R]:[n&H1&R]",-0.266147
"[C&H1&R]1-[C&H2&R]-[N&H1&R]-[C&H2&R]-1",-0.264400
"[C&H2]-[N&H1]-[C&H2]",-0.264222
"[C&H3]-[N&H1]-[C&H1&R]-[C&H2&R]",-0.264026
"[N&H1&R]",-0.263440
"[N&H1]-[C&H2]-[C&H2]-[O&H1]",-0.263017
"[C&H2]-[N&H1]-[C&H1](-[C&H3])-[C&H3]",-0.262963
"[N&H2]-[C&H2]-[C&H0]-[O&H1]",-0.262944
"[C&H3]-[N&H0&R2](-[C&H1&R2]-[C&H1&R2])-[C&H1&R2]",-0.262743
"[C&H3]-[C&H1]-[N&H1]-[C&H2]-[C&H2]",-0.261811
"[n&H0&R2]:[c&H0&R]=[O&H0]",-0.261310
"[C&H0]=[C&H1][C&H2]",-0.260521
"[n&H0&R2]:[c&H0&R]-[O&H1]",-0.259572
"[C&H2&R]-[C&H0&R]=[N&H0&R]",-0.259208
"[C&H3]-[N&H0&R2]-[C&H1&R2]-[C&H1&R2]-[C&H1&R2]",-0.259106
"[C&H2&R]-[C&H1&R](-[N&H2])-[C&H2&R]",-0.259070
"[C&H3]-[C&H0](-[C&H3])(-[N&H2])-[C&H0]",-0.258924
"[c&H1&R]:[c&H0&R]-[S&H0&+](-[C&H3])-[O&H0&-]",-0.258552
"[C&H2]-[N&H0&R2](-[C&H1&R2]-[C&H2&R])-[C&H1&R2]",-0.258058
"[C&H3]-[C&H1](-[N&H2])-[C&H2]",-0.257973
"[C&H0]-[O&H1]",-0.257359
"[C&H2]-[N&H1]-[C&H2]-[C&H2]",-0.257157
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H1]",-0.256858
"[c&H0&R]:[c&H0&R]=[O&H0]",-0.256292
"[S&H1]",-0.256267
"[N&H1]-[C&H1&R]1-[C&H2&R]-[N&H1&R]-[C&H2&R]-1",-0.254685
"[S&H0]-[O&H1]",-0.254663
"[O&H1]-[C&H0](=[O&H0])[C&H1]=[C&H1]",-0.254065
"[C&H3]-[N&H0&R2](-[C&H1&R2])-[C&H1&R2]-[C&H2&R]",-0.253804
"[C&H2]-[C&H1]-[N&H1]-[C&H2]",-0.251670
"[C&H1]-[N&H1]-[N&H1]",-0.250356
"[c&H0&R]-[S&H0&+](-[O&H0&-])-[C&H2]-[C&H3]",-0.250058
"[C&H2&R]1-[C&H1&R2]-[N&H0&R2]-[C&H2&R]-[C&H2&R]-1",-0.249989
"[C&H2]-[N&H1]-[C&H1]-[C&H2]-[O&H1]",-0.249828
"[B&H0&R]-[O&H1]",-0.249694
"[B&H0]-[O&H1]",-0.249694
"[C&H3]-[N&H1]-[C&H0&R]=[N&H0&R]",-0.249694
"[C&H2]-[C&H2]-[N&H1]-[C&H3]",-0.248690
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",-0.248410
"[C&H1]-[C&H0]=[O&H0]",-0.248372
"[C&H2&R]-[C&H1&R]-[N&H2]",-0.247573
"[C&H3]-[N&H1]-[C&H1](-[C&H3])-[C&H1]",-0.247549
"[O&H1]-[c&H0&R]:[n&H0&R]:[c&H0&R]-[O&H1]",-0.247267
"[C&H3]-[N&H1]-[C&H1&R]",-0.247060
"[C&H1&R2]1-[C&H2&R]-[C&H2&R]-[C&H1&R2]-[N&H1&R2]-1",-0.246961
"[c&H1&R]:[n&H0&R&+](-[O&H0&-]):[c&H1&R]:[c&H1&R]",-0.246907
"[C&H2&R2]-[C&H0&R3](-[N&H2])(-[C&H2&R2])-[C&H2&R2]",-0.246692
"[N&H2]-[C&H1&R]-[C&H2&R]",-0.246675
"[C&H2]-[O&H1]",-0.245615
"[C&H0](-[C&H3])(-[N&H2])-[C&H0]",-0.245461
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H2&R2])-[C&H2&R2]",-0.244224
"[N&H0&R]-[C&H0&R](=[N&H0&R])-[S&H1]",-0.242935
"[c&H1&R]:[c&H0&R](=[N&H0&+]-[C&H3]):[c&H1&R]",-0.242874
"[N&H0&R]-[B&H0&R](-[c&H0&R2])-[O&H1]",-0.242413
"[n&H1&R]:[c&H0&R]=[O&H0]",-0.242368
"[C&H3]-[N&H1]-[C&H0&R](-[C&H3])-[C&H1&R2]",-0.241908
"[C&H2]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.241846
"[C&H2&R]-[C&H0&R]-[N&H2]",-0.241830
"[N&H2]-[C&H0&R3](-[C&H2&R2])(-[C&H2&R2])-[C&H2&R2]",-0.241642
"[C&H2&R]-[C&H0&R]=[O&H0]",-0.241636
"[C&H1]-[N&H1]-[C&H2]",-0.240702
"[C&H2&R]-[C&H1&R2]-[N&H1&R]",-0.240396
"[C&H2&R]1-[C&H0&R2]-[C&H1&R2]-[C&H2&R]-[N&H1&R]-1",-0.240152
"[C&H0](=[N&H1])-[N&H0&R]",-0.239523
"[Br&H0]-[c&H0&R](:[c&H1&R]:[c&H1&R]):[s&H0&R]",0.239375
"[c&H0&R]-[S&H0&+](-[C&H3])-[O&H0&-]",-0.239368
"[C&H2&R]-[C&H1&R]-[N&H1&R]",-0.237979
"[C&H2&R]-[C&H1&R](-[N&H2])-[C&H2&R]-[C&H2&R]",-0.236222
"[O&H1]-[c&H0&R](:[n&H0&R]):[n&H0&R]",-0.236074
"[Br&H0]-[c&H0&R](:[c&H1&R]:[c&H1&R]):[c&H1&R]",0.235928
"[C&H2&R]-[S&H0&R]=[O&H0]",-0.234363
"[C&H3]/[N&H0]=[C&H0](\[S&H1])-[n&H0&R]",-0.232839
"[C&H0](=[N&H1])-[c&H0&R](:[c&H1&R]):[c&H1&R]",-0.232520
"[O&H0]=[S&H0&R]=[N&H0&R]",-0.231701
"[C&H3]-[C&H2]-[N&H1]-[C&H1&R]-[C&H2&R]",-0.230556
"[C&H2]-[C&H1](-[N&H2])-[C&H2]",-0.230462
"[C&H3]-[N&H0]-[C&H2]-[C&H2]-[O&H1]",-0.230312
"[C&H2&R]1-[C&H1&R2]-[N&H0&R2]-[C&H1&R2]-[C&H2&R]-1",-0.230279
"[C&H0&R]-[S&H1]",-0.230162
"[n&H1&R]:[c&H0&R]=[S&H0]",-0.229591
"[C&H2&R]-[C&H0&R]=[C&H2]",-0.229083
"[Br&H0]-[c&H0&R]:[c&H1&R]:[c&H1&R]:[c&H1&R]",0.228138
"[C&H0](=[N&H1])-[c&H0&R](:[c&H1&R]):[s&H0&R]",-0.227887
"[S&H1]-[c&H0&R](:[n&H0&R]):[n&H1&R]",-0.227847
"[C&H1&R](-[N&H2])-[C&H2&R]-[C&H2&R]",-0.227668
"[C&H2&R]-[C&H0&R2]-[O&H1]",-0.227415
"[C&H0&R]1(-[C&H2]-[N&H2])-[C&H2&R]-[C&H2&R]-1",-0.226760
"[C&H2]-[N&H0&R3&+](-[C&H2&R2]-[C&H2&R2])-[C&H2&R2]",-0.226749
"[C&H3]-[C&H1]-[N&H1]-[C&H1]-[C&H3]",-0.226282
"[C&H1]-[C&H2]-[N&H1]-[C&H2]",-0.225586
"[Br&H0]-[c&H0&R](:[o&H0&R]:[c&H0&R]):[c&H1&R]",0.224108
"[Br&H0]-[c&H0&R](:[c&H1&R]):[c&H1&R]:[c&H1&R]",0.223479
"[C&H2&R]-[C&H1&R]-[O&H1]",-0.222749
"[C&H3]-[N&H0&R2]-[C&H1&R2]-[C&H1&R2]",-0.222404
"[C&H2]-[C&H0&R]=[N&H0&R]",-0.222013
"[c&H0&R3]:[c&H0&R4](:[c&H0&R2]-[O&H1]):[c&H0&R4]",-0.221237
"[Br&H0]-[c&H0&R](:[o&H0&R]):[c&H1&R]:[c&H1&R]",0.219162
"[Br&H0]-[c&H0&R]:[s&H0&R]:[c&H0&R]:[c&H1&R]",0.218671
"[C&H2&R2]-[C&H1&R2]-[N&H1&R]",-0.217769
"[O&H1]-[c&H0&R]:[n&H0&R2]:[n&H0&R]",-0.217069
"[Br&H0]-[c&H0&R](:[c&H1&R]:[c&H0&R]):[c&H1&R]",0.217026
"[C&H2&R]-[N&H0&R]-[C&H3]",-0.216778
"[Br&H0]-[c&H0&R](:[c&H1&R]):[s&H0&R]",0.216346
"[N&H0&R2]-[C&H0&R2]=[N&H0&R]",-0.215841
"[C&H2&R2]-[C&H0&R3](-[N&H2])-[C&H2&R2]",-0.215691
"[c&H1&R]:[n&H0&R&+](-[O&H0&-]):[c&H1&R]",-0.215331
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H2&R2]",-0.215162
"[C&H1&R](-[C&H2]-[N&H2])-[C&H2&R]",-0.214679
"[C&H2]-[C&H1]-[N&H1]-[C&H2]-[C&H2]",-0.214141
"[C&H2&R2]-[C&H0&R3]-[N&H2]",-0.213519
"[C&H2&R]-[C&H0&R3]-[O&H1]",-0.213028
"[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.212372
"[C&H3]-[N&H0]-[C&H2]-[C&H1]-[O&H1]",-0.211729
"[Br&H0]-[c&H0&R]:[c&H1&R]:[c&H1&R]",0.211533
"[Br&H0]-[c&H0&R](:[c&H1&R]:[c&H1&R]):[c&H0&R2]",0.211244
"[N&H0&R]-[C&H2&R]-[N&H1&R]",-0.210779
"[c&H0&R4]:[c&H0&R4]-[C&H0&R3](-[C&H0&R3])=[O&H0]",-0.210689
"[S&H0]=[N&H1]",-0.210661
"[C&H1](-[N&H2])-[C&H2]",-0.210281
"[C&H3]-[N&H1]-[C&H1](-[C&H3])-[C&H0]",-0.210069
"[Br&H0]-[c&H0&R](:[c&H1&R]):[c&H0&R2]:[n&H1&R]",0.210028
"[C&H2]-[C&H2]-[N&H0&R2](-[C&H1&R2])-[C&H1&R2]",-0.209843
"[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]",-0.209718
"[C&H2]-[N&H0]=[C&H0](-[N&H2])-[N&H2]",-0.209634
"[C&H3]-[C&H1]-[N&H1]-[C&H1]",-0.208937
"[C&H2&R]-[C&H0&R]-[F&H0]",-0.208487
"[C&H3]-[N&H1]-[C&H1&R]-[C&H2&R]-[C&H2&R]",-0.207543
"[Br&H0]-[c&H0&R](:[c&H1&R]):[c&H1&R]",0.207409
"[c&H0&R4]-[C&H0&R3]=[O&H0]",-0.205638
"[O&H1]-[c&H0&R]:[n&H0&R2]:[n&H0&R]:[c&H1&R]",-0.205578
"[C&H0](-[N&H2])-[N&H2]",-0.205291
"[c&H0&R2]:[c&H0&R3]:[c&H1&R2]",-0.204694
"[C&H0](-[C&H3])(-[N&H2])-[C&H0]=[O&H0]",-0.204628
"[N&H1]-[C&H1]=[O&H0]",-0.204371
"[N&H2]-[C&H1&R](-[C&H2&R]-[C&H2&R])-[C&H2&R]",-0.204212
"[N&H1]-[C&H1]-[C&H2]-[O&H1]",-0.203846
"[N&H0&R]=[C&H0&R]-[N&H2]",-0.203162
"[C&H2]/[N&H0]=[c&H0&R]\[c&H1&R]:[c&H1&R]",-0.203115
