fragment,contribution
"[O&H1]-[C&H1]-[c&H0&R]:[c&H0&R2]-[O&H0&R]",-0.214346
"[N&H2]-[C&H0&R3]",-0.213905
"[N&H0]-[C&H0](=[O&H0])-[C&H2]-[O&H1]",-0.213622
"[N&H2]-[C&H1]-[C&H2]-[C&H2]-[C&H0]",-0.213621
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H2&R2]",-0.213601
"[C&H2&R]-[C&H0&R3]-[O&H1]",-0.213599
"[O&H0&R]-[C&H1&R2]-[C&H2&R]-[C&H1&R]-[O&H1]",-0.212455
"[N&H2]",-0.211858
"[C&H1]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.211528
"[C&H0]-[N&H1]-[O&H1]",-0.211106
"[O&H0&R]-[C&H1&R2]-[C&H1&R]-[O&H1]",-0.210707
"[n&H0&R]:[c&H0&R]-[N&H1]-[C&H0]=[O&H0]",-0.209985
"[N&H0&R]-[C&H1&R]-[C&H2]-[C&H0]=[O&H0]",-0.209943
"[n&H0&R]:[c&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.208834
"[c&H0&R4]:[c&H0&R4]",-0.208675
"[N&H1]-[C&H1]-[C&H1]-[O&H1]",-0.207925
"[N&H0&R]-[C&H2]-[C&H1]-[O&H1]",-0.207703
"[O&H0&R]-[C&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.207004
"[c&H1&R](:[c&H1&R]):[c&H1&R]:[c&H1&R]",0.207004
"[N&H1]-[C&H1]-[C&H3]",-0.206694
"[S&H0]-[N&H0&R]-[C&H1&R]-[C&H0]=[O&H0]",-0.206290
"[o&H0&R]",0.206192
"[c&H0&R]=[N&H0&+]-[C&H3]",-0.205994
"[c&H0&R]-[N&H1]-[N&H1]-[C&H0]=[O&H0]",-0.205645
"[O&H1]-[c&H0&R](:[c&H1&R]):[c&H1&R]:[c&H1&R]",0.205086
"[c&H1&R](:[c&H1&R]:[c&H1&R]):[c&H1&R]:[c&H1&R]",0.204685
"[n&H0&R]:[n&H0&R]:[c&H0&R]=[O&H0]",-0.204271
"[n&H0&R]:[c&H0&R]-[N&H1]-[S&H0]=[O&H0]",-0.203792
"[C&H0]-[C&H1]-[O&H1]",-0.203540
"[S&H0&R]-[O&H0&R]-[N&H0&R]=[C&H0&R]-[C&H2]",-0.201808
"[S&H1]-[c&H0&R]:[n&H1&R]:[c&H0&R]=[O&H0]",-0.201654
"[C&H1]-[C&H2]-[O&H1]",-0.199887
"[O&H1]-[B&H0&R]",-0.199837
"[O&H1]-[B&H0]",-0.199837
"[C&H0&R3]-[C&H2]-[C&H0]-[O&H1]",-0.198726
"[N&H0&R]-[C&H1&R]-[C&H0](=[O&H0])-[O&H1]",-0.198684
"[C&H1]-[C&H0](=[O&H0])-[N&H1]-[O&H1]",-0.198397
"[c&H0&R]-[C&H0]-[O&H1]",-0.198106
"[n&H0&R]:[n&H0&R]:[n&H1&R]",-0.197671
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.196852
"[O&H1]-[c&H0&R]:[c&H0&R2]:[c&H0&R2]:[c&H0&R2]",-0.196691
"[N&H0&R]=[C&H0&R]-[N&H0&R]=[C&H0&R]-[N&H0&R]",-0.196659
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H0]",-0.196527
"[C&H3]-[C&H1]-[C&H0]-[O&H1]",-0.196152
"[C&H3]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.195393
"[C&H0]-[C&H2]-[O&H1]",-0.195035
"[n&H0&R]:[c&H0&R]-[O&H1]",-0.194517
"[O&H1]-[c&H0&R]:[c&H0&R2]:[c&H0&R2]:[c&H0&R]",-0.194353
"[N&H2]-[C&H1]-[C&H0]=[O&H0]",-0.194336
"[N&H1&R]",-0.193370
"[N&H0&R]-[C&H0&R]-[N&H0&R]=[C&H0&R]-[N&H2]",-0.192731
"[C&H0]-[N&H0&R]-[C&H1&R]-[C&H0]=[O&H0]",-0.192664
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H2]",-0.192517
"[N&H2]-[N&H1]-[C&H0]=[O&H0]",-0.192391
"[C&H0&R2]-[N&H0&R]=[C&H0&R]-[N&H2]",-0.192286
"[n&H0&R]:[s&H0&R]:[c&H0&R]=[O&H0]",-0.192226
"[N&H1]-[C&H1]-[C&H1]-[C&H0]=[O&H0]",-0.191967
"[O&H1]-[C&H0]",-0.191947
"[C&H3]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.191890
"[n&H0&R]:[n&H0&R]:[n&H0&R2]",-0.191794
"[Br&H0]-[c&H0&R]",0.191609
"[O&H1]-[C&H1]-[C&H0]-[C&H0]=[O&H0]",-0.191601
"[C&H0&R2]-[N&H1&R2]",-0.191543
"[O&H1]-[c&H0&R](:[c&H1&R]):[c&H1&R]:[c&H0&R2]",0.191182
"[c&H0&R]-[S&H0]-[N&H1]-[C&H0]=[O&H0]",-0.190793
"[C&H0&R3]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.190091
"[Br&H0]-[c&H0&R](:[c&H1&R]:[c&H1&R]):[s&H0&R]",0.189873
"[C&H0&R]-[C&H0](=[O&H0])-[O&H1]",-0.189868
"[c&H1&R](:[c&H1&R]:[c&H1&R]):[c&H1&R]",0.189840
"[C&H0]-[N&H0&R]-[C&H1&R]-[C&H0]#[N&H0]",-0.189620
"[N&H1&R]-[C&H2&R]",-0.189272
"[c&H1&R]:[n&H0&R]:[n&H0&R2]:[c&H0&R]-[O&H1]",-0.188945
"[O&H1]",-0.188841
"[c&H0&R]:[n&H0&R]:[n&H1&R]:[c&H0&R]=[O&H0]",-0.188296
"[c&H0&R]-[C&H1]-[O&H1]",-0.188173
"[O&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.187795
"[c&H0&R]-[N&H1]-[C&H0]=[N&H1]",-0.187529
"[N&H2][C&H0]=[C&H0]",-0.187208
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H1&R]",-0.187185
"[n&H0&R]:[c&H1&R]:[n&H1&R]:[c&H0&R]=[O&H0]",-0.186612
"[C&H2]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.185429
"[c&H1&R](:[c&H1&R]):[c&H1&R]",0.185383
"[S&H0](=[O&H0])-[N&H1]-[C&H0]=[O&H0]",-0.184971
"[N&H0&R]-[C&H1]-[C&H0]=[O&H0]",-0.184938
"[N&H1]-[C&H2]-[C&H2]-[N&H2]",-0.183955
"[N&H0]-[C&H2]-[C&H1]-[O&H1]",-0.183822
"[n&H0&R]:[n&H1&R]:[n&H0&R]",-0.183752
"[C&H1&R]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.183428
"[Br&H0]-[c&H0&R](:[c&H1&R]:[c&H1&R]):[c&H1&R]",0.183397
"[C&H0]-[C&H0&R2]-[O&H1]",-0.183396
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[n&H1&R]",-0.183237
"[C&H1]-[N&H1]-[C&H2]-[C&H1]-[C&H2]",-0.183035
"[C&H1]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.182975
"[C&H2][N&H0]=[c&H0&R]",-0.182479
"[C&H1&R2]-[C&H1&R2]-[O&H1]",-0.182092
"[C&H1]-[N&H1]-[C&H2]-[C&H2]",-0.181961
"[O&H1]-[c&H0&R](:[c&H1&R]):[c&H1&R]",0.181904
"[C&H2]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.181783
"[Br&H0]-[c&H0&R](:[c&H1&R]):[c&H1&R]:[c&H1&R]",0.181698
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[N&H0&R]",-0.181528
"[C&H3]-[N&H1]-[C&H2]-[C&H2]-[C&H1]",-0.181506
"[C&H2]-[C&H1]-[C&H0]-[O&H1]",-0.181387
"[c&H0&R]-[N&H0&R]-[C&H1&R]-[C&H0]=[O&H0]",-0.181313
"[C&H1]-[n&H0&R]:[n&H1&R]:[c&H0&R]=[O&H0]",-0.181191
"[O&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.180636
"[O&H1]-[c&H0&R](:[c&H1&R]:[c&H1&R]):[c&H1&R]",0.180461
"[Br&H0]-[c&H0&R](:[c&H1&R]):[s&H0&R]",0.179943
"[C&H0&R3]-[O&H0&R]",-0.178877
"[N&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.178441
"[O&H0&R]-[C&H1&R]-[C&H1&R]-[O&H1]",-0.177775
"[c&H0&R]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.177691
"[N&H0&R]-[C&H1&R]-[C&H0]-[O&H1]",-0.177343
"[N&H2]-[C&H1]-[C&H2]-[C&H0]",-0.176783
"[n&H0&R]:[n&H0&R2]:[n&H0&R]",-0.176659
"[c&H0&R]-[C&H1]-[C&H0]-[O&H1]",-0.176476
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[N&H0&R]",-0.175659
"[N&H0&R]-[C&H0&R]-[N&H0&R]-[C&H0&R]=[O&H0]",-0.175596
"[n&H0&R]-[C&H2]-[C&H2]-[C&H0]#[N&H0]",-0.175312
"[O&H1]-[c&H0&R](:[c&H1&R]):[o&H0&R]",0.175120
"[n&H0&R]:[n&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.174894
"[c&H0&R]-[n&H0&R]:[n&H1&R]:[c&H0&R]=[O&H0]",-0.174564
"[c&H0&R]-[N&H0]-[C&H0]=[N&H1]",-0.174418
"[c&H0&R]-[N&H0&R]-[C&H0&R]=[S&H0]",-0.174187
"[C&H0&R2]-[N&H0&R2]",-0.174056
"[S&H0]-[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.173373
"[C&H0]-[N&H1]-[C&H0&R]-[C&H0]#[N&H0]",-0.173261
"[C&H0]-[N&H0&R]-[C&H1&R]-[C&H0]-[O&H1]",-0.172823
"[C&H0&R]-[N&H0&R]-[N&H0&R]-[C&H0&R]=[O&H0]",-0.172322
"[Br&H0]-[c&H0&R](:[c&H1&R]):[c&H1&R]",0.171879
"[n&H0&R]:[n&H0&R]:[c&H0&R]-[N&H2]",-0.171504
"[n&H0&R]:[n&H0&R]:[n&H0&R]:[n&H0&R2]:[n&H0&R]",-0.171409
"[n&H0&R]-[C&H1]-[C&H2]-[O&H1]",-0.170544
"[N&H0&R]-[C&H0&R]=[N&H0&R]-[C&H0&R]=[N&H0&R]",-0.170512
"[C&H1]-[S&H0]-[O&H1]",-0.170372
"[O&H1]-[C&H1]-[C&H1]-[C&H0]=[O&H0]",-0.170027
"[c&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.169914
"[N&H1]-[N&H1]",-0.169875
"[S&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.169652
"[O&H0]=[S&H0&R]=[N&H0&R]-[C&H0&R]=[O&H0]",-0.169254
"[O&H0&R]-[C&H1&R]-[C&H0&R]-[O&H1]",-0.169231
"[c&H0&R]:[n&H1&R]:[n&H1&R]:[c&H0&R]=[O&H0]",-0.168862
"[c&H0&R]-[C&H0&R]-[O&H1]",-0.168330
"[c&H0&R]-[N&H0&R]-[C&H0&R]-[N&H0&R]=[C&H0&R]",-0.168327
"[N&H2]-[C&H1]",-0.168280
"[O&H1]-[c&H0&R](:[c&H1&R]:[c&H1&R]):[c&H0&R2]",0.168268
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[S&H0]",-0.168112
"[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.167706
"[C&H1]=[C&H1][S&H0](=[O&H0])=[O&H0]",-0.167439
"[c&H0&R]:[n&H0&R]:[n&H0&R2]:[c&H0&R]-[O&H1]",-0.167134
"[n&H0&R]:[n&H0&R]:[s&H0&R]",-0.167106
"[O&H0&R]-[C&H2&R]-[c&H0&R2]:[c&H0&R]=[O&H0]",-0.167106
"[N&H0&+](-[C&H3])-[C&H2]",-0.166878
"[c&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.166654
"[c&H0&R]-[N&H0&R]-[C&H1&R]-[C&H0]-[O&H1]",-0.166567
"[O&H1]-[C&H1]-[c&H0&R]:[c&H0&R2]",-0.166227
"[N&H0]-[C&H2]-[C&H2]-[C&H0]#[N&H0]",-0.166070
"[C&H0](=[O&H0])-[N&H1]-[S&H0]=[O&H0]",-0.165989
"[c&H0&R]:[n&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.165968
"[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.165898
"[c&H0&R2]:[n&H0&R2]:[c&H0&R]-[O&H1]",-0.165798
"[O&H1]-[C&H1]-[c&H0&R]:[c&H1&R]:[c&H0&R2]",-0.165551
"[n&H0&R]:[s&H0&R]:[n&H0&R]",-0.165138
"[O&H1]-[c&H0&R](:[c&H1&R]):[c&H1&R]:[c&H0&R]",0.165128
"[Br&H0]-[c&H0&R]:[s&H0&R]",0.165102
"[C&H0]-[N&H0]-[O&H1]",-0.164910
"[C&H0]-[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.164643
"[C&H2]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.164538
"[n&H0&R]:[c&H1&R]:[n&H0&R2]:[c&H0&R]=[O&H0]",-0.164460
"[C&H0]-[N&H1]-[C&H0&R]-[C&H0]=[O&H0]",-0.164058
"[N&H1]-[N&H1]-[C&H0]=[O&H0]",-0.164038
"[o&H0&R]:[n&H0&R]:[c&H0&R]-[C&H2]-[O&H1]",-0.163966
"[S&H0&R]-[C&H0&R]-[N&H0&R]-[C&H0&R]=[O&H0]",-0.163789
"[S&H0]-[N&H0&R]-[B&H0&R]-[O&H1]",-0.163545
"[c&H1&R]",0.163425
"[C&H1&R]-[N&H0&R]=[C&H0&R]-[N&H0&R]=[C&H0&R]",-0.163344
