fragment,contribution
"[O&H1]-[C&H0]=[O&H0]",-0.677809
"[c&H0&R]-[O&H0]-[C&H1]-[C&H0]-[O&H1]",-0.661363
"[C&H0](=[N&H0])[N&H2]",-0.661259
"[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.652376
"[O&H1]-[C&H0](=[O&H0])-[C&H2]",-0.644909
"[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.623760
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[n&H1&R]",-0.621401
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]",-0.617574
"[S&H0]-[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.617001
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H0]",-0.610266
"[N&H2]-[C&H2]-[C&H2]",-0.608077
"[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.607040
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[c&H0&R]",-0.600500
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.598948
"[c&H0&R]-[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.597549
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.596716
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.588951
"[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.581375
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H1&R]",-0.578617
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.573934
"[c&H0&R]-[C&H0]=[N&H0]-[O&H1]",-0.570683
"[c&H0&R2]-[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.565038
"[C&H0]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.554693
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.551681
"[S&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.535232
